#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
           1          -0.0758042          -0.0758042                   0
           2          -0.0758042          -0.0758042                   0
           3           -0.274089           -0.141899           0.0539663
           4           -0.274089           -0.174947           0.0495712
           5           -0.274089           -0.194775           0.0434421
           6           -0.274089           -0.207994             0.03816
           7           -0.274089           -0.217436           0.0338566
           8            -1.07108           -0.324142            0.104118
           9           -0.799643           -0.376976            0.105103
          10           -0.799643           -0.419242             0.10274
          11           -0.799643           -0.453824           0.0990493
          12           -0.838509           -0.485881           0.0958425
          13           -0.903737           -0.518024           0.0937049
          14            -1.05712           -0.556531           0.0945934
          15            -1.05712           -0.589904             0.09399
          16             -1.0858           -0.620897           0.0930856
          17           -0.190858           -0.595601           0.0909823
          18           -0.197932           -0.573508           0.0885694
          19           -0.197932           -0.553741           0.0860855
          20           -0.200841           -0.536096             0.08357
          21           -0.217366           -0.520918            0.080957
          22           -0.217366            -0.50712           0.0784441
          23           -0.217366           -0.494522           0.0760384
          24           -0.217366           -0.482974           0.0737418
          25           -0.641068           -0.489298           0.0710628
          26         -0.00318745           -0.470601           0.0707464
          27           -0.625016            -0.47632           0.0683569
          28           -0.147795           -0.464587            0.066915
          29           -0.147795           -0.453664           0.0654932
          30           -0.147795           -0.443468           0.0640987
          31           -0.147795            -0.43393           0.0627366
          32           -0.147795           -0.424988             0.06141
          33           -0.589152           -0.429963           0.0597503
          34            -1.06484           -0.448636           0.0608407
          35            -1.06484           -0.466242           0.0615971
          36           -0.743559           -0.473945           0.0603658
          37           -0.743559           -0.481232           0.0591725
          38           -0.743559           -0.488135           0.0580166
          39           -0.743559           -0.494684           0.0568975
          40           -0.743559           -0.500906           0.0558142
          41           -0.220744           -0.494073           0.0548696
          42           -0.220744           -0.487565           0.0539477
          43           -0.882877           -0.496758           0.0534707
          44           -0.926058           -0.506515           0.0531382
          45           -0.926058           -0.515838           0.0527689
          46          -0.0251777           -0.505172           0.0526887
          47           -0.400015           -0.502935           0.0516152
          48            -1.04607            -0.51425           0.0517653
          49          -0.0176447           -0.504115           0.0516915
          50          -0.0176447           -0.494386           0.0515652
          51          -0.0176447           -0.485038           0.0513944
          52          -0.0176447            -0.47605            0.051186
          53           -0.194417           -0.470736           0.0504953
          54           -0.194417           -0.465619           0.0498188
          55             -1.0842           -0.476866           0.0501664
          56             -1.0842           -0.487711           0.0504293
          57             -1.0842           -0.498175           0.0506187
          58           -0.630069           -0.500449            0.049797
          59           -0.270739           -0.496556           0.0491049
          60           -0.270739           -0.492792           0.0484305
          61           -0.270739           -0.489152           0.0477732
          62           -0.124968           -0.483278           0.0473624
          63           -0.124968           -0.477591           0.0469509
          64           -0.124968           -0.472081           0.0465394
          65           -0.736008           -0.476141           0.0460002
          66           -0.736008           -0.480079           0.0454714
          67           -0.736008           -0.483899           0.0449529
          68           -0.736008           -0.487606           0.0444445
          69           -0.695162           -0.490614            0.043902
          70           -0.695162           -0.493536            0.043372
          71           -0.854388           -0.498619           0.0430579
          72           -0.854388            -0.50356           0.0427424
          73           -0.466554           -0.503053           0.0421599
          74           -0.466554            -0.50256           0.0415931
          75           -0.466554            -0.50208           0.0410413
          76           -0.466554           -0.501612           0.0405039
          77           -0.466554           -0.501157           0.0399805
          78           -0.190543           -0.497175           0.0396657
          79           -0.190543           -0.493293           0.0393531
          80           -0.119412            -0.48862           0.0391377
          81           -0.119412           -0.484062            0.038919
          82           -0.224695           -0.480899           0.0385727
          83           -0.224695           -0.477812           0.0382313
          84           -0.596221           -0.479222           0.0378021
          85           -0.596221           -0.480598           0.0373825
          86           -0.536814           -0.481252           0.0369535
          87           -0.536814            -0.48189           0.0365343
          88           -0.536814           -0.482514           0.0361244
          89           -0.455189           -0.482207           0.0357198
          90           -0.444989           -0.481794           0.0353253
          91           -0.501599           -0.482012           0.0349378
          92           -0.266514           -0.479669           0.0346365
          93           -0.266514           -0.477377           0.0343398
          94           -0.266514           -0.475134           0.0340477
          95            -1.03616            -0.48104           0.0341976
          96           -0.190959           -0.478018           0.0339746
          97           -0.190959           -0.475058            0.033753
          98           -0.190959           -0.472159           0.0335329
          99         -0.00747062           -0.467466            0.033521
         100           -0.760708           -0.470398           0.0333139
         101           -0.250203           -0.468218           0.0330553
         102           -0.250203           -0.466081           0.0328002
         103           -0.250203           -0.463985           0.0325487
         104           -0.250203           -0.461929           0.0323006
         105           -0.250203           -0.459913           0.0320558
         106           -0.250203           -0.457934           0.0318144
         107           -0.250203           -0.455993           0.0315762
         108           -0.250203           -0.454087           0.0313413
         109            -1.04283           -0.459489           0.0315158
         110           -0.382267           -0.458787           0.0312371
         111           -0.382267           -0.458097           0.0309633
         112           -0.382267            -0.45742           0.0306942
         113            -1.04639           -0.462632           0.0308619
         114            -1.04639           -0.467753           0.0310131
         115            -1.04639           -0.472785            0.031149
         116            -1.04639            -0.47773           0.0312705
         117            -1.04639            -0.48259           0.0313786
         118            -1.01685           -0.487118           0.0314377
         119            -1.07888           -0.492091           0.0315643
         120            -1.07888            -0.49698           0.0316778
         121            -1.07888            -0.50179            0.031779
         122           -0.590442           -0.502516           0.0315268
         123          -0.0260565           -0.498643           0.0315076
         124          -0.0260565           -0.494831           0.0314831
         125          -0.0260565           -0.491081           0.0314538
         126          -0.0260565           -0.487391             0.03142
         127          -0.0260565           -0.483758           0.0313818
         128            -1.09546           -0.488537           0.0314985
         129            -1.09546           -0.493242           0.0316037
         130           -0.648243           -0.494434           0.0313831
         131           -0.893398            -0.49748           0.0312909
         132           -0.893398           -0.500479           0.0311973
         133             -0.9055           -0.503524            0.031111
         134           -0.486178           -0.503395           0.0308791
         135            -1.06917           -0.507586           0.0309335
         136            -1.06917           -0.511715           0.0309804
         137            -1.06917           -0.515784           0.0310203
